bottomless	اتھاہ اگم بے پیندہ
old	اخلق اسبق اقدم باستان باسی بُڈّھا بِردھا بڑا بوڑا بُوڑھا پارینہ پاستان پراچین پُران پُرانا پُورب پُوربک جرن جوجرا جُونا جُونی چِر دقیانُوسی دلِدّر دیریں دیرینہ ژندہ ضعیف قدیم قدیمانہ کُہنہ گھاگ مُزمن مُستدام مُستضعِف مُسِن مُعمرّ مُندرِس نملی بزرگی پیری ضعیفی بڑھاپا خزاں پولس والا سابق طالب علم اپنا وطن ترین پرانا طالبہ مٹیلا پیلا رنگ جنگل کائیاں تجربہ کار گھسی پٹی بات قدامت پرست کنواری بڑھیا باپ بڑے میاں شوہر استاد فن ہوا ابلیس شیطان بوڑھا بوڑھی گہرا گلابی ملاح روایتی آسان اچھی پہچان شناسا فوجی پرانی طرز کا عہد نامہ تورات بڈھا بزرگ خرانٹ کہنہ کہن سال پرا چین پیر پیشین پیوستہ
wine	اخمار آب آفتاب بادہ بوتل پانی خُمُور دارُو راح ساغر شادہ شراب صہبا گُلابی مٹھَور مد مدِرا مدن مُل مَے ہالا یقین شربت شرابی کار کلال تلخ مے فراہم کرنا پلانا
homogenous	اخوات
brotherhood	اُخُوّت آپس بِرادری کُف کُفُو مُواخات داری اخوت بھائ چارہ
master	اخُوند ارباب اساتذہ اہالی اِیشور آجِر آخوند آغا آفندی آقا بابُو بادشاہ بھان پت پتی پربھو پنڈِت پھاڑُو ٹھاکُر ججمان خُدا خُداوند خدیو خصَم خواجہ دھنی ذُو رب سامی سائِیں سر سرتاج سرکار سُوامی صاحِب ضابِط کتخدا مارنا مالِک مخدوم موالی مَولا مَولیٰ مِیاں ناتھ نیتا وارث والا ولی حاکم اعلا نسل غضب کی چال کمال اصحاب ماہر مالک میاں صاحب استاد ہنر مندی حاصل کرنا تسلط عبور
leader	اخُوند اکابر اگوا اِمام آغا بلد پردھان پیشاپیش پیشوا تِلک راعی راہبر رہبر رہنما زعیم سربراہ سرخیل سروَر قائِد قائِدانہ قُدوہ مُقتدا مُقدّم مُہتدی مِیر نایک نقیب نیتا ہادی یعسوب امام قائد پیش رو راہ بر نما سالار سردار سرگروہ سر پنچ سرتاج
ruler	اخُوند افسر امّار امیر اِیشور آغا آمِر بالاچاق پٹری حاکم حُکّام سربراہ صاحِب عُمّال فرمانروا قہرمان کارفرما مِسطر مُلُوک مَولا نریش والی حکمران پادشاہ صاحب
consequently	اخیر بِالآخر پس لاجرَم لہٰذا نتیجتاً پیچھے
lastly	اخیر آخر کار آخرش انجام بل اخیرن
posture	ادا اَوضاع آسن دھج تھا ست وضو حالات مقام کیفیت طرز ٹھاٹ وضع ادائیں
payment	ادا ادائیگی برات ادائ اجر بدلہ مکافات معاوضہ تقسیم
coquettishness	ادا چالا چلبلاپن
responsibility	ادا بار بوجھ بھار پاؤں تکفُّل ٹبّر ٹوکرا حق ذِمّہ عُہدہ کفالت مس ولیت فرض جواب دہی ذمے داری
style	ادا اسالیب اُسلُوب اندازہ باباآدم بُکائیّہ بھانت پرداز پرما پَیرایہ تراز تراش ٹھاٹ جُون چونچلا دھج ڈھب ڈھچر رُوپ زِی سبک سِیاقت شکل طرز طَور قرینہ کَینڈا لٹک ہنجار انداز وضع اسلوب ڈھنگ عبارت پہلو پیرایہ قطع رنگ شان طرح
payer	اداکنندہ دِہندہ گُزار
instrument	ادات ادوات اَوزار آلات آلہ جنتر دستاویز سادھن سبیل کرن ہتھیار موجب واسطہ
tool	ادات ادوات اَوزار آلات آلت آلہ سامان سامَگری ہتھیار اوزار
article	ادات اسباب اشیا بابت تصنیف جِنس چِیز ساز سامَگری شَے مضامین مواد مضمون سامان بیان چیز مقالہ شئے
apparatus	ادات ادوات آلات آلت ٹبّر جنتر راچھ سامان سامَگری سروسامان سماج یراق رخت ساز
alphabet	ادات
implement	ادات اسباب اَوزار آلات آلت آلہ جنتر راچھ کرنا مجریہ اوزار ہتھیار لاگو پورا تعمیل
generous	اُدار پنیاتما جوّاد حاتِم حاتِمانہ داتا دیاکر دیالُو راجا رستگار سخی سفّاح غرّا فائِض فراخدل فیّاض کریم مُحسِن مُنِعم نجیب واہِب وہّاب بے لوث دل والا فیاض فراخ حاتم ہمت
charitable	اُدار خَیراتی دانی مُخیّر
generosity	اُدار اکرام بخشندگی بذل پرتاپ جُود جودوسخا دات دِل سخا سماحت شہامت فُتوّت فراخدلی فیّاضی کرَم مُواہبت سخاوت دل فیضان فیاضی فراخ دلی جود کرم مروت
gentle	اُدار الوایا بِنیت جنّتی حلِیم حنُون دِھیما ذلُول سِیدھا شریف شِیرِیں گُداز لطیف مُلائم مندا نازک ناگرِک نجیب نرم شائستہ نسیم آہستہ خوب ملائم دل سیدھا
gentleness	اُدار آہِستگی بُردباری توقُّر حِلم ذِل رسان رِفق سلس سُہُولت مکارِم نمرتا انسانیت ملائمیت نرمی نرم دلی شرافت
bountiful	اُدار حاتِم دانی رستگار سخی مُخیّر مُفیض کریم
compilation	اِدارت اِنتخاب تدوین تالیف ترتیب
institution	اِدارہ مرکزی ادارہ تاسیس
editorial	اِداریہ اداریہ
melancholic	اُداس سَوداوی سَودائی مِراقی
sombre	اُداس اندھیرا سِیاہ
grieve	اُداس حزیں خاموش دِـژم دُکھانا دُکھی دگدھ رنجہ رنجیدہ روتا سوختہ سَودائی کُڑھنا کلَپنا کِلسنا کوفتہ مُتاذّی مُتاسِّف مُتالّم محزوں مسوسنا مغموم دل غم دیدہ محزون رنج کرنا سوگ منانا کراہنا کڑھنا متاسف پرملال
sorrowful	اُداس اُداسا بِکٹ بھاری پرالم پرسوز پِژمان تلخ حزیں دِـژم دُکھی سوگوار سوگی غمگین مغموم آزردہ دل افسوسناک اندوہ ناک حزین خستہ ملول متاسف اچاٹ اداس
sadness	اُداسی ائلام بستگی پژمُردگی پیلاپن تاَذّی حُزن رنج غم ملال ملالت ململاہٹ ملُولا نژندی افسردگی افسوس حزن پژ مردگی
sorrowfulness	اُداسی تحزُّن
fakir	اُداسی آزاد بابا باباجی باوا خِرقہ عائِل فُقرا گداگر فقیر
cheerlessness	اُداسی
actor	اداکار باز بہروپیا بھانڈ بھرت پِیتامبر تماشاگر سانگی سوانگی مُمثِّل نِرتک نقّال نَوٹنکی فعال
actress	اداکارہ
pretence	اداکاری بنوَٹ بہانہ تقریب دِکھائو ڈھونگ رِیا ریاکاری عِلّت مِس مکر مُنافقت نخرا بناوٹ دکھاوا فعل حیلہ حوالہ نخرہ پاکھنڈ پردہ
always	اداَنت تاابد تازیست جم جنم دائم دوام روز روزروز سدا نِت ہموارہ ہمیشہ ابداً دائماً ہمہ وقت ہرگز مدام نت رات دن
purpleness	اُداہٹ
fulfilment	ادائیگی اِیفا برآری قُبُولیّت وفا
literature	ادب ادبیّات بدذوق بدمذاق ساہِتیہ ادبیات
civility	ادب اِلتفات آداب آدمیّت تکریم تواضُع خُلق رِفق سُلُوک سِیل شرافت شُستگی شہریت مُدارا آدمیت الطفات انسانیت
reverence	ادب ارز اِستقداس اِکرام آدر پالاگن تبجیل تحریم تعظیم تکریم تَوقیر حُرمت لِحاظ مت مہابت ہَیبت احترام حرمت عزت
regard	ادب اِعتبار اِلتفات انگاری آدر آنکھ باب بابت بڑائی پاس پاسداری پُرسِش پریم پُوچھ پُوچھنا تپاک تعلُّق توجُّہ جس حمِیّت خاطِر خیال دِھیان سلام شان گرداننا گِننا لِحاظ لیکھے مان مُحابا مُروّت مُلاحظہ ملحُوظ مُنھ نظر نِہارنا وقعت احترام اعتراف تقدیر بحوالہ متعلق نسبت دیکھنا کرنا ماننا ڈالنا دھیان الطفات لحاظ نگاہ تاک
litterateurs	اُدبا
dissoluteness	اِدبار
pennilessness	اِدبار نیستی
deprivation	اِدبار اِفلاس بِجوگ ترساوٹ ٹوٹا حِرماں محرومی مہجوری
defeat	اِدبار اُفتادگی اِنہزام بھگانا بھگیل بھنگ پِٹُّو پراجِت پراجَے پسپا پسپائی جِت دلبا زک سُقُوط شِکست شِکستگی مات مارنا مغلُوب مُنکسِر مُنہزِم ناکام ہار ہارا ہریلا ہزیمت ہرانا ہوا مغلوب شکست خوردہ دانت کھٹے کرنا دینا بنانا نیچا دکھانا پاؤں اکھاڑنا پچھاڑنا پیٹنا زیر ناکامی
decadence	اِدبار گراوٹ زوال
wondrous	ادبُد اعلا عجب حیرت انگیز
deliberately	ادبدا اِرادتاً بِالارادہ بِالالتزام عمداً قصداً تخلیصانہ ےبنا کا مقصود دانستہ جانے بوجھے
certainly	ادبدا البتّہ بِالضّرور بِالکل بِالیقین بداہتہً حتماً راست شرطیہ صاف ضرور عندالتحقیق لاریب مُقرّر واقعی یقیناً
mischievously	ادبدا شرارتاً مُفسدانہ
positively	ادبدا قطعاً لاکلام مُقرّر بالکل
literariness	ادبیتّ
insertion	اِدخال اِندراج اِنسلاک داخِلہ درج اندراج دخول پیوستگی شمول
entry	اِدخال آمد پَیٹھ داخِلہ اندراج دخل دخول
smoke	ادخنہ بُخار دُخان دُود دُودہ دُھواں دُھوانسا دُھونی دُھویں دھواں نوش کرنا پینا دھونی دینا
interpolation	اِدراج تلفیق دخل الحاق شمول تحریف
flux	اِدرار بہائو روانی پٹ
sagacity	اِدراک پہنچ تعقُّل تفاہُم حذاقت دانائی دانش ذکا ذہانت ذِہن سِیان فِراست فرزانگی فرہنگ کِیاست دانائ فراست فطرت خرد مندی ذہن
consciousness	اِدراک بھان چیت سامان سُد سُدھ سُرت شُعُور کان احساس گیان ہوش
cognition	اِدراک آگاہی آگہی دانش ادراک معرفت
ginger	ادرک بگھار زنجبیل سٹھورا گِرہ ہمت جذبہ مزاج تیز ڈالنا جان بھورا سرخی مائل
gingery	ادرکی
pretension	اِدّعا داعِیہ دعویٰ
request	اِدّعا ارداش اِستجابت اِستدعا اِلتماس آرزو بات بر بھاونا پرارتھنا جاچنا خواست خواہش سوال عرض فرمائشی گُزارش لابہ معروضہ نِہورا ور طلب مانگ در گزارش التجا کرنا مانگنا منگانا منگوانا
prayer	ادعیہ استُت اِستدعا اِسعاف اِلتجا الصّلوٰۃ آرادھن بلائی بِنتی پرارتھنا تپسیا تمنّا دُعا دعوات سُترہ سجّادہ صلوٰۃ صلوات عِبادت لابہ مزمُور مُناجات نِیاز وردان عبادت دعا التماس نماز
benediction	ادعیہ اسیس آشِیرباد بلائی تبرُّک تبریک دُعا دعوات صلوٰۃ صلوات نِیائش برکت دعا کرم سلوات
assimilation	اِدغام اِنجذاب اِنضمام پچائو تحلیل غاذِیہ ہضم ضم
merger	اِدغام اِنضمام ضم انظام وحدت
gemination	اِدغام تشدید
integration	اِدغام تکمُّل شِیرازہ ہم آہنگ سازی انظام پیوستگی تکمل تکمیل توافق یک جہتی
complicated	ادق باریک پیچیدہ تابیدہ گُنجلک گول مُتعسِّر مُلبّس مُنطوی تعبہ محروم مبہم غلط کٹھن مشکل پیچ دار پرپیچ الجھا
wrapper	ادقچہ بدری بستہ بَیٹھن لِفافہ چوغہ غلاف جلد کتاب لبادہ لفافہ روپوش
coverlet	ادقچہ چادر غاشِیہ نِہالچہ
cover	ادقچہ اِلتباس امبر اندُود اوٹ اوٹنا اوڑھنا آڑ بدری بُرقع پاٹا پاٹن پاٹنا پٹ پُٹ پٹا پٹل پردہ پوش پوشِش پوشیدہ تُپانا توپنا ٹپ جھانپنا چاندا چاندوا چپنی چھانا چُھپانا خول دبادبایا دفن ڈھاٹا ڈھانپنا ڈھانکنا ڈھکا ڈھکّن ڈھکنا ستر سِفال طبق غاشِیہ غفیر غِلاف کُفر کھور کھوری گِیر گھات لپیٹ لپیٹا محجوب مستُور مُلبّس منڈھوائی مُنطبِق مُوندنا ور چوری سپر سار گلپوش چھپا چھپانا ڈالنا حجاب کرنا اڑہانا غلاف لفافہ
