english	urdu
evoke	بلانا پکارنا طلب کرنا یاد تازہ کرنا
ewer	آفتابہ ابریق قرابہ
ewe	بھیڑ
exacting	محنت طلب سخت
exactitude	درستی صحت موزونیت مطابقت
exactly	بہ جنسی ہوبہو بالکل ویسا ہی
exact	عین بالکل پورا زبردستی حاصل کر لینا
exaggerate	حاشیہ چڑھانا مباغہ کرنا پل باندھنا
exaggeration	بناوٹ مبالغہ
exaltation	عروج
exalted	ارجمند عالی عظیم بلند فراز محترم ممتاز مشرف رفیع سرفراز
exalt	چڑھانا
examination paper	پرچہ
examination	امتحان جائزہ جرح پرکھ پڑتال پوچھ گچھ
examine	امتحان لینا جائزہ لینا جانچنا جرح کرنا پرکھنا تجسس کرنا وزن کرنا
examining	تجسس
example	بانگی مثال مثل نمونہ نقشہ
exasperated	عاجز
excavate	کھودنا
excavation	کھدائ
exceedingly	بے حد با درجہ اتم نہایت
exceeding	فائق
exceed	بڑھ جانا فائق ہونا جواز کرنا
excellence	فضیلت فوق فضل کمال خوبی نفاست شرف عمدگی
excellently	خوبی سے خوش اسلوبی سے
excellent	اول بڑھیا بیش فاضل خوب مرغوب مستثنیٰ نفیس
excellent!	واہ
excelling	غالب
excel	چڑھنا غالب آنا غالب ہونا مہارت دکھانا سبقت لے جانا
excepted	مستثنیٰ
exceptional	مستثنیٰ شاذ
exception	استثنیٰ
except	نکالنا مگر بجز بغیر ما سوا سوا
excessively	بے تحاشا غایت
excessive	اندھا دھند نہایت پرلے درجے کا زیادہ
excess	بیشی دست درازی دفرات کثرت مارا مار زیادتی
exchange	ادل بدل کرنا بدلنا تبدیل کرنا بدل بدلہ عوض فدا مبادلہ تبادلہ
excise	آب کاری کاٹ ڈالنا نکال دینا
excited	گرم مست
excitement	گرمی ہیجان جوش لہر پٹ سنسنی شورش
excite	چمکانا ہیجان پیدا کرنا جوش دلانا
exciting	ہیجان خیز
excluded	علیحدہ الگ خارج مستثنیٰ
exclude	کاٹنا خارج کرنا مستثنیٰ کرنا نظر انداز کرنا نکالنا
excluding	بغیر
exclusively	صرف
exclusive	علیحدہ خاص
excommunicate	دین بدر کرنا تکفیر کرنا
excoriate	چھلنا گھسنا کھرچنا کھال کھینچنا ادھیڑنا
excrement	گندگی فضلہ نجاست پاخانہ
excrescence	غیر طبیعی
excrete	خارج کرنا
excretion	خروج
exculpate	مبرا کرنا
exculpation	معافی تبرا
excursion	سیر
excursus	تفصیلی ضمیمہ
excuse	آڑ بہانہ حیلہ جواز ٹال مٹول عذر
execrable	کریہہ
execute	آخر کرنا دار پر کھینچنا پھانسی لگانا
executioner	جلاد
execution	عمل کاروائ ہلاکت پھانسی
executive	انتظامیہ
exegesis	تفسیر
exemplar	مثال نقل
exemplify	مثال دینا
exemption	چھوٹ چھٹکارا خلاصی
exempt	خارج مستثنیٰ کرنا
exercise	مشق مشاقی مشق کرنا محنت ورزش
exertion	کد کوشش محنت زور
exert	دم لگانا زور دینا
exhalation	دھونی
exhale	سانس نکالنا
exhausted	آبلہ پا ہلکان شل تھکا ہوا
exhausting	تھکا دینے والا
exhaustion	خستگی
exhibit	دکھانا نمائش کرنا نکالنا
exhilaration	کیف سرور
exhilirant	مفرح
exhortation	نصیحت
exigency	ضرورت
exile	جلا وطن کرنا گھر نکالا جلا وطنی
existence	بود ہستی حیات جیون کون موجودگی وجود زندگی
existing	موجود موجودہ
exist	جینا
exit	چھوڑ جانا مرنا باہر جانے کا راستہ نکاس
exodus	خروج کوچ
exorbitant	فحش
exorcise	آسیب اتارنا
exorcism	عمل
exorcist	اوجھا سایہ دور کرنے والا
exoteric	عوامی خارجی کھلا سادہ
expanded	کھلا
expand	بڑھانا پسارنا پھیلانا
expanse	کشادگی پھیلاؤ وسعت
expansionism	توسیع پسندی
expansionistic	توسیع پسندانہ
expansionist	توسیع پسند
expansion	کشادگی وسعت
expansive	بسیت پھیلنے والا توسیعی
ex parte	جانب دار یک طرفہ
expatiate	آوارہ پھرنا ادھر ادھر چلنا تشریح کرنا تول دینا وضاحت کرنا
expatriate	ملک بدر کرنا ملک بدر ملک بدر
expectant	حاملہ منتظر امید وار
expectation	آس آشا انتظار لو نظر توقع امید
expected	متوقع
expecting	متوقع
expect	با امید ہونا کھڑا رہنا راہ تکنا امید کرنا
expediency	حکمت عملی مصلحت صوابدید
expedition	فور عجلت
expelled	شہر بدر
expel	در بدر کرنا خارج کرنا نکالنا
expended	مبذول
expenditure	خرچ لاگت سرفہ
expend	خرچ اٹھانا سرف کرنا
expenses	خرچہ اٹھان سرفہ زیر باری
expense	خرچ لاگت
expensiveness	اسراف مہنگا پن
expensive	بڑھیا مہنگا قیمتی
experienced	جہاں دیدہ کار آزمودہ خرانٹ کہنہ مشق مجرب پکا پورا پختہ پختہ کار پرانا تجربہ کار
experience	پہچاننا تجربہ ہونا پہچان پختگی سبق تجربہ
experiment	آزمائش امتحان پرکھ تجربہ
expertise	مشاقی
expert	چالاک ماہر طاق
expiration	انقضا موت وفات
expire	انتقال کرنا مر جانا وفات ہو جانا آخر ہونا بیتنا گزرنا انتقال کرنا مر جانا پھونک نکل جانا وفات ہو جانا
explain	سمجھانا تشریح کرنا واضح کرنا وضاحت کرنا ظاہر کرنا وضاحت ہونا
explanation	بیان انشراح شرح تعریف توضیح وضاحت
expletive	اندراج
explicate	ترقی دینا
explicitly	پوست کندہ صاف صاف
explicit	بے جھجھک ہویدا روشن صاف صریح واضح
explode	پھٹنا
exploitation	ناجائز فائدہ (اٹھانا)
exploitative	ناجائز فائدہ اٹھانے والا
exploit	کھسوٹنا عمل بہادری کار نامہ
exploration	دریافت انکشاف
exploratory	تحقیقاتی
explore	دریافت کرنا انکشاف کرنا
explosion	دھماکا
explosive	آتش بار
export	برآمد نکاس
exposed	بے پردہ طشت از بام
expose	افشا کرنا بے پردہ کرنا کھولنا پردہ فاش کرنا پردہ اٹھانا راز فاش کرنا وا کرنا
exposition	عرض تفسیر توضیح
expository	تفسیری توضیحی سمجھنا
expostulate	سمجھنا
exposure	افشا انکشاف
expound	افشا کرنا تعبیر کرنا وضاحت کرنا
expression	عبارت محاورہ
expressly	کھلے بندون صاف
express	بتانا اعلان کرنا اطلاع دینا بے کم و کاست دو ٹوک غیر مبہم صریح واضح
expropriated	ضبط شدہ
expropriate	بے دخل کرنا ضبط کر لینا
expulsion	بے دخلی اخراج
expunge	پونچھنا
expurgate	غلاظت سے پاک کرنا خارج کرنا تطہیر کرنا
extempore	بے ساختہ فل بدیہ
extended	دراز طویل
extend	بڑھانا پسارنا پھیلانا
extensible	قابل توسیع
extension	درازی کشادگی مد توسیع
extensively	جامع طور پر
extensive	بڑا چوڑا فراخ وسیع
extent	بساط پہنچ وسعت
extenuate	گھٹانا کم کرنا
exterior	بیرونی خارجہ
exterminate	مٹا دینا پامال کرنا اکھاڑنا
extermination	پامالی اکھاڑ
externally	خارجن اوپر اوپر سے
external	بیرونی خارجہ اوپر کا ظاہری
extinction	عدم فنا نابودگی نیستی
extinct	فنا نابود معدوم
extinguish	بجھانا
extol	تعریف کرنا
extort	لوٹنا نچوڑنا
extraction	آبا و اجداد نسب نسل نکاس
extract oil	پیلنا
extract	کاڑھنا کشید کرنا کھیننچنا نچوڑنا نکالنا پتہ چلانا زبردستی اگلوانا عطر اقتباس کڑھائ خلاصہ نچوڑ
extra judicial	ماورائے عدالت
extraneous	خارجی
extraordinary	عجیب غیر معمولی غریب خاص خلاف معمول
extravagance	اللے تللے اسراف
extravagant	اندھا دھند فضول فضول خرچ مسدود
extra	فالتو کوتل ماورا زائد زیادہ
extremely	بے حد نہایت شدید
extreme	آخر اشد انتہائ سخت شدید
extremism	انتہا پسندی غل
extremist	انتہا پسند
extremity	دم انتہا غایت نہایت
exuberance	بہتات افراط کثرت ریل پیل وافرت
exuberant	فضول خرچ وافر
exudation	عرق رطوبت رسائ
exude	رسنا
exult	پھولا نہ سمانا
eyeball	ڈھیلا
eyebrow	ابرو بھوں
eyeglass	عینک چشمہ
eyelashes	مژگان
eyelash	پلک
eyelid	پپوٹا پردہ
eyesight	بصارت نظر روشنی
eyes	ابصار آنکھیں
eye wash	دھوکا پٹی
eye	دیکھنا آنکھ عین بصر چشم دیدہ
eye witness	عینی گواہ عینی شاہد
eyre	گشتی کچہری
fable	داستان ڈھکوسلا فسانہ قصہ
fabricant	بنانے والا کاری گر
fabricated	ایجاد کردہ جعلی جھوٹی نقلی
fabricate	بنانا گھڑنا تیار کرنا
fabrication	جعل سازی شگوفہ
fabric	بناوٹ بناوٹ کپڑا ساخت تراش
fabrikoid	برساتی
fabulist	افسانہ خواں دستان گو
fabulous	بناوٹی جعلی غیر حقیقی معروف مشہور مصنوعی
facade	آگا
faceless	انجان بے نام
faceted	پہلو دار
facetiosly	مذاقاً شوخی سے
facetious	مزاحیہ شوخ ٹھٹھول ظریف
face to face	آمنے سامنے روبرو
facet	پہلو
face	جا بھڑنا سامنا کرنا آگا چہرہ ہئیت منہ پیکر روپ رو رخ رخسار شکل صورت طلعت
facial	ہئیتی پیکری
facile	آسان عمل پیرا ہنر مند سلیس
facilitated	میسر
facilitate	آسان کرنا سہل بنانا
facilitator	آسان کرنے والا موقعہ مہیہ کرنے والا
facility	آسانی نرمی سہولت سکھ
facing	آمنے سامنے در پیش سامنے عارض حفاظت
facsimile	چربہ
factionalism	فرقہ بندی
faction	دھڑا گروہ حذب ٹولی
factitious	بناوٹی مصنوعی نقلی
factor	عامل کار پرداز عنصر
factory	کار خانہ خادم نوکر
factotum	خدمت گار
facts	معلومات صورتحال
fact	امر حقیقت
faculty	مادہ قوت شعبہ طاقت
faddle	بکواس لغویت
faded	بے رنگ فق ماند مدھم
fade	غائب ہونا کملانا مرجھانا پھیکا پڑنا رنگ اڑنا زوال پزیر ہونا
fading	زوال پزیر
faeces	فضلہ
fag	تھکنا تھکانا
failed	ناکام
failing	ہبوت قاصر کھوٹ
failure	ناکامی قصور
fail	ہارنا خالی جانا ناکام ہونا رہ جانا
faint hearted	خائف
fainting	غش
faint	دھیما مدھم پھیکا ضعیف چکرانا غش کھانا
fain	باغ باغ کیف آور خرم خوش محضوذ مسرور
fairly	عدل سے انصافی سے خوش اسلوبی سے تماماً
fairness	عدل منصف مزاجی اجلا پن
fair play	عدل انصاف
fair sex	صنف نازک
fair	گورا انصاف پسند خالص کھلا صاف سچا سیم تن اجلا گورا میلا
fairyland	پرستان
fairy like	پری وش
fairytale	جھوٹ موٹ پری کہانی
fairy	پری
fait accompli	عمل انجام شدہ
faithfully	صداقت سے سچائ سے وفادار سے
faithfulness	وفا
faithful	امین عقیدت مند صادق سچا وفادار
faithlessness	بے ایمانی بے وفائ
faithless	بد دیانت بے انصاف بے وفا جھوٹا خائن
faith	آس عقیدت باور دین ایمان مذہب اعتبار اعتقاد یقین
fake	تہہ کرنا جعل سازی کرنا لوٹنا نقل بنانا ٹوٹ پڑنا جھوٹا نقلی
falconry	باز سے شکار
falcon	باز شاہین
fallacious	غلطی پر پرخطا
fallacy	دھوکا غلطی خطا
fallen into	مبتلا
fallen	بے رتبہ چوپٹ چت گرا ہوا ساقط زبوں ذلیل
fallible	قابل خطا
falling out	باہمی جھگڑا
fall in love	جی آنا لٹو ہونا
fall (like fruit)	ٹپکنا
fallout	جھگڑ پڑنا رو نما ہونا
fallow	غیر مزروعہ زمین پڑتی افتادہ دھوکا باز فریبی غلط جھوٹا کاذب کھوٹا پرخطا دھوکا فریب غلطی جھوٹ کذب پرخطا نقلی
fall short	ناکافی ہونا
fall through	بے نتیجہ رہنا ناکام رہنا
fall upon	ٹوٹ پڑنا
fall	گرنا پچھاڑنا پڑنا زوال
falsehood	دروغ فسق جھوٹ کذب
false step	لغزش
falsification	جعل سازی جھوٹ
falsify	ڈھونگ کرنا گھڑنا جعل سازی کرنا جھوٹا بنانا جھٹلانا
falter	ہچکچانا لڑکھڑانا تردد کرنا
famed	مشہور
fame	آبرو آوازہ چرچا ڈنکا دھاک دھوم فروغ نام ناموری نمود شہرت
familial	کنبے کا
familiarise	عادت ڈالنا ہلانا
familiarity	الفت
familiar	عام آپس کا بے تکلف جانا پہچانا مالوف مانوس معروف
family tree	خاندان شجرا نسب
family	آل عائلہ بال بچے گھر گھر بار خاندان کنبہ نسب قبیلہ
famine	کال قحط
famished	فاقہ کش فاقہ زدہ
famish	فاقہ کرنا فاقہ سے مرنا
famous	مشہور نامور اجاگر
fanatic	کٹر پیر پرن جوش مجنونہ جوش والا
fancied	موہوم متصور
fanciful	البیلا غیر حقیقی خیالی تصوری
fancy	گمان کرنا خیال کرنا پسند کرنا گمان خیال خواب شوق تصور وہم
