اتھاہ	bottomless unfathomable deep
باتیں	boast law rule chit light
باٹ	route footpath road path track way
باٹا	track
باٹکا	villa
باج	tax etc tribute cess duty impost
باجا	gramophone
باجاگاجا	music
باجرا	bajra millet drizzle
باجنا	sound resound
باجنتری	musician
باچنا	study disregard explain
باچھ	levy tribute subscription etc
باچھا	calf
باچھیا	cheilosis
باختر	west
باختری	bactrian
آبروباختہ	dishonour
باخہ	tortoise
باد	contention debate dispute arthritis discourse lawsuit wind adulterant speech gale case flatus breeze impurity horse discussion statement air
بادپا	speedy swift courser
بادامی	nut light almond amygdaloid
بادبان	sail
بادبانی	sail
بادِر	etc
بادُر	bat
بادرنگ	cucumber
بادشاہ	proficient sovereign king master lord adept skilled independent unconcern
بادشاہت	empire kingship realm rule reign kingdom
بادشاہی	empire kingly royal sovereignty kingdom reign
بادلا	brocade
بادہ	wine liquor spirit
بادی	flatulent bloated forester flatulency flatulence rheumatic wild illuminator first beginner windy
بادیان	aniseed
بادیہ	wasteland forest jungle cup wilderness goblet desert
بادھ	hindrance enmity opposition
بادھا	illness increase augmentation impediment apparition hindrance obstruction pain
بادھی	rope thread
باڈی	bodice brassiere
باذِل	benevolent philanthropic
بار	leave cargo god blossom admittance painful produce burden time opportunity pregnancy occasion tribunal weight arduous entrance assembly door loan fruit turn reiteration heaviness difficult portal responsibility load encumbrance
بارآور	successful productive fertile fruit
باربردار	porter dedicate carrier hardworking
بارپانا	accession
بارپیما	barometer
بارخانہ	warehouse
باردار	pregnant
باردانہ	supply vessel forage bag provision
بارکش	porter
بارگاہ	court holy palace mansion
باروَری	pollination fruitfulness
بارہا	often
باریابی	access admission
بارِالٰہ	god
بارا	wind storm
باراں	monsoon rain
بارانی	rain rainy rainfall pluvial eave
باراہ	boar hog
بارتا	conversation
بارتنگ	plantain
بارِج	conch etc
بارِجہ	barge warship
بارجہ	portico window sunshade
بارِد	meaningless useless insensitive frigid cold
بارِز	manifest apparent
بارِش	rainfall rain shower windfall plenty
بارِق	shin bright
بارگی	cart
بارم	twelve
بارن	maid
بارنا	abandon separate
بارِندگی	rain
بارنی	intoxicant
بارُود	gunpowder
باروَر	fruitful
بارہ	twelve topic respect concern
باری	window house allah orchard peephole turn
بارے	however once suddenly but
باریطون	peritoneum
باریک	minute intricate slim subtle high thin fine skinny delicate complicated slight lean slender
باریکی	nicety fineness delicacy subtlety discernment
بارھواں	twelfth
باڑ	hedge inundation rim flood queue verge margin row broadside edge border fence
باڑا	hedge alm cote homestead farmyard fence enclosure graveyard charity cemetery area
باڑی	cultivation cotton enclosure plantation abode garden residence orchard
باڑھ	rise hedge flood increase fence growth margin spate
باڑھا	increase growth
باز	back baza harrier again abstain refuse person actor vast agent doer hawk open
بازپس	return death
بازپیدائش	regeneration
بازخواست	grill inquiry interrogation
بازخواہ	interrogator inquirer
بازگرد	returnee
بازگو	backbiter
بازیاب	regain recover
بازیافت	recovery recover retrieval
بازار	bazar trade business mart price sale market rate
بازارگان	trader merchant
بازارگانی	merchandise trade
بازارن	prostitute
بازارُو	common low cheap vulgar ordinary
بازاری	common low cheap vulgar ordinary
بازگشت	return
بازِندہ	player
بازنطین	byzantine
بازُو	friend power side arm brother doorpost associate companion strength
بازی	sport hazard bet deception stake deceit play wager trick game
بازیچہ	toy diversion wager frolic play
بازیگر	acrobat
بازیگری	jugglery
باس	scent habitation courage strength odour abode stench dwell smell lodge residence
باستان	ancient historical old
باسٹھ	sixty
باسٹھواں	sixty
باسِق	high elevated lofty
باسمتی	fragrance
باسن	vessel dish basin utensil pot plate
باسنا	odour scent perfume
باسی	dweller stale inhabitant rancid old fusty smell
باش	stay live be
باشد	perhaps
باشِندہ	citizen inhabitant dweller resident
باشُعُور	wise intelligent
باشہ	falcon sparrowhawk hawk
باشی	commander inhabitant chief
باصِر	spectator
باصِرہ	sight
باطِل	absurd futile nonsensical wrong untruthful worthless useless annul false spurious untrue fallacious fictitious ineffectual incorrect vain unsound abolish
باطِلّیّت	unbelief
باطِن	spirituality internal invisible hide conceal conscience inside soul mind
باطِنی	intrinsic internal esoteric latent hide
باطِنیّت	esotericism
باعِث	basis reason cause origin
باغ	grove child offspring land orchard area garden
باغبانی	gardening
باغی	traitor rebel insurgent mutineer
باغیانہ	perfidious treacherous rebellious mutinous
باف	weaver
بافت	texture weave tissue
بافتہ	knit weave bafta
بافراط	amply plenty abundant
بافِندہ	weaver
باقِر	researcher
باقرخانی	milk
باقلا	pot
باقی	remainder excess residue remain exist surplus last perpetual arrear balance
باقیات	balance remnant relic residue arrear
باک	qualm irresolution language hesitation fear speech terror locution word
باکِرہ	virgin
باکی	weep
باکھل	enclosure
باگ	rein bridle
باگا	wedding
باگری	india
باگی	stiletto knife
باگھ	tiger
باگھن	tigres lioness
بال	hair state power child condition strength pinion wing minor feather heart mind
بالا	woman above on elevated forego aforementioned up stature lofty height wife exalted girl infant summit top upon aloft superior inaccessible high
بالابر	fore
بالاپوش	quilt bedspread
بالاتر	lofty high beyond
بالاچاق	authority overlord ruler
بالاحصار	pakistan
بالاخانہ	upstairs attic balcony
بالاخوانی	exaggeration
بالانشین	good high prosperous president
بالاپن	infancy childhood
بِالاتّفاق	admittedly jointly unanimously
بِالاجماع	unanimously
بِالاجمال	briefly
بِالاستیعاب	thoroughly wholly
بِالارادہ	deliberately intentionally wilfully
بِالاعلان	openly boldly publicly
بِالالتزام	deliberately pre deliberate regularly
بالائش	encouragement support
بالائی	surficial highness superiority superficial eminence extra additional upstair(s extraordinary upper
بِالآخر	consequently ultimately
بِالتّصریح	explicitly expressly distinctly
بِالتّخصیص	particularly specially specifically
بالٹی	balti
بِالجبر	violently forcibly
بِالجملہ	altogether
بِالجہر	loudly audibly
بالچھڑ	spikenard
بِالخُصوص	particularly specially
بِالخَیر	happily happy well
بالدا	cattle
بِالذّات	essentially originally naturally intrinsically
بالش	cushion pillow
بالِشت	span
بالِشتیا	dwarf manikin pygmy midget
بِالضّرور	certainly surely inevitably necessarily definitely
بِالعُموم	universally commonly usually generally
بالغ	consummate adult mature
بِالفرض	suppose
بِالفعل	now practically actually
بِالقصد	intentionally
بِالقُوّہ	potentially vigorously covertly
بالک	child infant disciple
بالکا	child
بِالکل	entirely altogether certainly completely totally wholly
بالکلّیہ	totally
بالگیر	horse
بالم	beloved sweetheart husband lover
بالنا	light enkindle inflame
بالندہ	grow flourish
بالُو	sand gravel grit
بالوا	sandy
بِالواسطہ	indirectly
بالوترا	hirsute hairy
بالی	immature young
بالیدگی	boil increase vegetation development growth loftiness adolescence tumour expansion maturity sublimity
بالیدہ	grow increase delight contented happy
بِالیقین	certainly surely definitely
بام	balcony fathom eel
بامداد	dawn
بامن	brahman
بامی	snake
بان	storm manner quality character bore habit conduct dart property trade business custom temper nature disposition arrow
دربان	doorkeeper darwan guard porter gatekeeper
بانا	manner profession habit weft bet garment costume unfold uniform custom occupation woof stake wager dress spread guise
باناتی	woollen
بانب	eel snake
بانبی	termite snake navel
بانتی	time
بانٹ	share fortune division allotment portion weight distribution luck
بانٹل	shareholder(s
بانٹنا	allot partake distribute divide apportion etc letter
بانٹی	share
بانچنا	read describe decipher mention study
باند	slave
باندا	dodder
باندر	monkey
باندی	maidservant handmaid
باندھ	dam embankment fetter confinement imprisonment fasten
باندھنا	form bind imprison etc fetter tie embank design arrest build settle captivate impose compose chain devise gather check
باندھنُو	insinuation scheme bond slander fabrication knot
بانڈ	tailless
بانڈا	hunchbacked cripple stick maim
بانڈی	cattle club cudgel
بانس	bamboo
بانسری	fife pipe flute
بانسی	flute
بانقراس	pancreas
بانک	duplicity settee crookedness bend wind curve craftiness curvature sprig wickedness
بانکا	angry annoyed brave curved arrant foppish crooked bold gallant boulevardier smart vulgar mischievous beau fop
بانکپن	jauntiness rakishness stylishness crookedness smartness debauchery curvature elegance
بانگ	voice shout
بانگڑو	churlish stupid uncultured clownish fool rustic uncivilized rough rude
بانگی	sample pattern example specimen
بانو	lady queen housewife gentlewoman
بانوچ	swing
بانوے	ninety
بانوےواں	ninety
بانہ	dress
بانہہ	security power arm sleeve help strength aid defender guarantee helper support
بانی	inventor tongue language tone discourse temperament song speech sound weave voice melody disposition word initiator founder
باو	arrogance air wind pride syphilis flatulence atmosphere rheumatism
